[GC#1(0.1ms)48kb( 0%)+L0kb -> 48kb( 0%)+L0kb, FL:94kb, RI: 0%, GC: 0%, S:0Mb, RSS:2320Kb -> 2320Kb]
[GC#2(0.0ms)112kb(52%)+L0kb -> 88kb(39%)+L0kb, FL:89kb, RI:-0%, GC:100%, S:0Mb, RSS:2960Kb -> 2960Kb]
[GC#3(0.1ms)192kb(76%)+L0kb -> 144kb(63%)+L0kb, FL:82kb, RI: 0%, GC:100%, S:0Mb, RSS:2960Kb -> 2960Kb]
[GC#4(0.1ms)304kb(82%)+L0kb -> 224kb(76%)+L0kb, FL:72kb, RI: 0%, GC:100%, S:0Mb, RSS:2960Kb -> 2960Kb]
[GC#5(0.2ms)464kb(88%)+L0kb -> 344kb(84%)+L0kb, FL:157kb, RI: 0%, GC:100%, S:0Mb, RSS:2960Kb -> 3760Kb]
[GC#6(0.4ms)704kb(93%)+L0kb -> 520kb(91%)+L0kb, FL:135kb, RI: 0%, GC:100%, S:0Mb, RSS:3760Kb -> 3760Kb]
[GC#7(0.4ms)1056kb(95%)+L0kb -> 792kb(93%)+L0kb, FL:201kb, RI: 0%, GC:100%, S:0Mb, RSS:3760Kb -> 4576Kb]
[GC#8(0.6ms)1600kb(97%)+L0kb -> 1192kb(96%)+L0kb, FL:251kb, RI: 0%, GC:100%, S:0Mb, RSS:4576Kb -> 5376Kb]
[GC#9(0.9ms)2400kb(98%)+L0kb -> 1800kb(97%)+L0kb, FL:375kb, RI: 0%, GC:100%, S:0Mb, RSS:5376Kb -> 6976Kb]
[GC#10(1.3ms)3616kb(99%)+L0kb -> 2704kb(98%)+L0kb, FL:462kb, RI: 0%, GC:100%, S:0Mb, RSS:6976Kb -> 8592Kb]
[GC#11(2.2ms)5424kb(99%)+L0kb -> 4064kb(99%)+L0kb, FL:692kb, RI: 0%, GC:100%, S:0Mb, RSS:8592Kb -> 11808Kb]
[GC#12(3.0ms)8144kb(99%)+L0kb -> 6104kb(99%)+L0kb, FL:1037kb, RI: 0%, GC:100%, S:0Mb, RSS:11808Kb -> 16608Kb]
[GC#13(4.6ms)12224kb(100%)+L0kb -> 9168kb(99%)+L0kb, FL:1554kb, RI: 0%, GC:100%, S:0Mb, RSS:16608Kb -> 23840Kb]
[GC#14(7.2ms)18352kb(100%)+L0kb -> 13760kb(100%)+L0kb, FL:2380kb, RI: 0%, GC:100%, S:0Mb, RSS:23840Kb -> 35088Kb]
[GC#15(13.9ms)27544kb(100%)+L0kb -> 27544kb(100%)+L0kb, FL:3457kb, RI:100%, GC: 0%, S:0Mb, RSS:35088Kb -> 57568Kb]
[GC#16(17.7ms)55104kb(100%)+L0kb -> 31616kb(99%)+L0kb, FL:6948kb, RI:25%, GC:75%, S:0Mb, RSS:59008Kb -> 91152Kb]
[GC#17(15.5ms)63248kb(100%)+L0kb -> 31656kb(99%)+L0kb, FL:7943kb, RI:46%, GC:54%, S:0Mb, RSS:95552Kb -> 103584Kb]
[GC#18(14.6ms)63328kb(100%)+L0kb -> 31408kb(100%)+L0kb, FL:7974kb, RI:45%, GC:55%, S:0Mb, RSS:109440Kb -> 109440Kb]
[GC#19(15.1ms)63328kb(100%)+L0kb -> 31664kb(99%)+L0kb, FL:7942kb, RI:45%, GC:55%, S:0Mb, RSS:109440Kb -> 109440Kb]
[GC#20(15.4ms)63344kb(100%)+L0kb -> 31672kb(99%)+L0kb, FL:7941kb, RI:44%, GC:56%, S:0Mb, RSS:109440Kb -> 109440Kb]
[GC#21(16.4ms)63368kb(100%)+L0kb -> 31408kb(100%)+L0kb, FL:7974kb, RI:21%, GC:79%, S:0Mb, RSS:121168Kb -> 121168Kb]
[GC#22(15.4ms)63360kb(100%)+L0kb -> 31616kb(99%)+L0kb, FL:7948kb, RI:45%, GC:55%, S:0Mb, RSS:121168Kb -> 121168Kb]
[GC#23(15.5ms)63360kb(100%)+L0kb -> 31656kb(99%)+L0kb, FL:7943kb, RI:44%, GC:56%, S:0Mb, RSS:121168Kb -> 121168Kb]
[GC#24(15.3ms)63360kb(100%)+L0kb -> 31504kb(99%)+L0kb, FL:7962kb, RI:36%, GC:64%, S:0Mb, RSS:121168Kb -> 121168Kb]
[GC#25(15.3ms)63360kb(100%)+L0kb -> 31664kb(99%)+L0kb, FL:7942kb, RI:46%, GC:54%, S:0Mb, RSS:121168Kb -> 121168Kb]
[GC#26(15.9ms)68896kb(100%)+L0kb -> 31376kb(100%)+L0kb, FL:8678kb, RI:40%, GC:60%, S:0Mb, RSS:121168Kb -> 126784Kb]
[GC(207.1ms): 26 collections, 12600kb rpages, RI:45%, GC:55%, Frag avg: 5%]
