[GC#1(0.2ms)48kb( 0%)+L0kb -> 48kb( 0%)+L0kb, FL:94kb, RI: 0%, GC: 0%, S:0Mb, RSS:3456Kb -> 3684Kb]
[GC#2(0.1ms)112kb(52%)+L0kb -> 88kb(39%)+L0kb, FL:89kb, RI:-0%, GC:100%, S:0Mb, RSS:4272Kb -> 4304Kb]
[GC#3(0.1ms)192kb(76%)+L0kb -> 144kb(63%)+L0kb, FL:82kb, RI: 0%, GC:100%, S:0Mb, RSS:4348Kb -> 4392Kb]
[GC#4(0.1ms)304kb(82%)+L0kb -> 224kb(76%)+L0kb, FL:72kb, RI: 0%, GC:100%, S:0Mb, RSS:4420Kb -> 4496Kb]
[GC#5(0.3ms)464kb(88%)+L0kb -> 344kb(84%)+L0kb, FL:157kb, RI: 0%, GC:100%, S:0Mb, RSS:4520Kb -> 5056Kb]
[GC#6(0.2ms)704kb(93%)+L0kb -> 520kb(91%)+L0kb, FL:135kb, RI: 0%, GC:100%, S:0Mb, RSS:5076Kb -> 5284Kb]
[GC#7(0.5ms)1056kb(95%)+L0kb -> 792kb(93%)+L0kb, FL:201kb, RI: 0%, GC:100%, S:0Mb, RSS:5284Kb -> 5992Kb]
[GC#8(0.7ms)1600kb(97%)+L0kb -> 1192kb(96%)+L0kb, FL:251kb, RI: 0%, GC:100%, S:0Mb, RSS:5996Kb -> 6868Kb]
[GC#9(1.2ms)2400kb(98%)+L0kb -> 1800kb(97%)+L0kb, FL:375kb, RI: 0%, GC:100%, S:0Mb, RSS:6868Kb -> 8368Kb]
[GC#10(1.6ms)3616kb(99%)+L0kb -> 2704kb(98%)+L0kb, FL:462kb, RI: 0%, GC:100%, S:0Mb, RSS:8372Kb -> 10232Kb]
[GC#11(2.8ms)5424kb(99%)+L0kb -> 4064kb(99%)+L0kb, FL:692kb, RI: 0%, GC:100%, S:0Mb, RSS:10232Kb -> 13416Kb]
[GC#12(4.4ms)8144kb(99%)+L0kb -> 6104kb(99%)+L0kb, FL:1037kb, RI: 0%, GC:100%, S:0Mb, RSS:13416Kb -> 18196Kb]
[GC#13(6.3ms)12224kb(100%)+L0kb -> 9168kb(99%)+L0kb, FL:1554kb, RI: 0%, GC:100%, S:0Mb, RSS:18196Kb -> 25364Kb]
[GC#14(10.6ms)18352kb(100%)+L0kb -> 13760kb(100%)+L0kb, FL:2380kb, RI: 0%, GC:100%, S:0Mb, RSS:25368Kb -> 36324Kb]
[GC#15(20.6ms)27544kb(100%)+L0kb -> 27544kb(100%)+L0kb, FL:3457kb, RI:100%, GC: 0%, S:0Mb, RSS:36332Kb -> 59032Kb]
[GC#16(24.5ms)55104kb(100%)+L0kb -> 31616kb(99%)+L0kb, FL:6948kb, RI:25%, GC:75%, S:0Mb, RSS:59984Kb -> 91672Kb]
[GC#17(18.5ms)63248kb(100%)+L0kb -> 31656kb(99%)+L0kb, FL:7943kb, RI:46%, GC:54%, S:0Mb, RSS:94716Kb -> 102812Kb]
[GC#18(18.0ms)63328kb(100%)+L0kb -> 31408kb(100%)+L0kb, FL:7974kb, RI:45%, GC:55%, S:0Mb, RSS:106732Kb -> 106760Kb]
[GC#19(17.3ms)63328kb(100%)+L0kb -> 31664kb(99%)+L0kb, FL:7942kb, RI:45%, GC:55%, S:0Mb, RSS:106760Kb -> 106804Kb]
[GC#20(17.6ms)63344kb(100%)+L0kb -> 31672kb(99%)+L0kb, FL:7941kb, RI:44%, GC:56%, S:0Mb, RSS:106804Kb -> 106812Kb]
[GC#21(18.4ms)63368kb(100%)+L0kb -> 31408kb(100%)+L0kb, FL:7974kb, RI:21%, GC:79%, S:0Mb, RSS:114628Kb -> 114628Kb]
[GC#22(18.0ms)63360kb(100%)+L0kb -> 31616kb(99%)+L0kb, FL:7948kb, RI:45%, GC:55%, S:0Mb, RSS:114628Kb -> 114628Kb]
[GC#23(17.4ms)63360kb(100%)+L0kb -> 31656kb(99%)+L0kb, FL:7943kb, RI:44%, GC:56%, S:0Mb, RSS:114628Kb -> 114628Kb]
[GC#24(18.2ms)63360kb(100%)+L0kb -> 31504kb(99%)+L0kb, FL:7962kb, RI:36%, GC:64%, S:0Mb, RSS:114628Kb -> 114628Kb]
[GC#25(17.9ms)63360kb(100%)+L0kb -> 31664kb(99%)+L0kb, FL:7942kb, RI:46%, GC:54%, S:0Mb, RSS:114628Kb -> 114628Kb]
[GC#26(19.9ms)68896kb(100%)+L0kb -> 31376kb(100%)+L0kb, FL:8678kb, RI:40%, GC:60%, S:0Mb, RSS:114632Kb -> 120056Kb]
[GC(255.4ms): 26 collections, 12600kb rpages, RI:45%, GC:55%, Frag avg: 5%]
